Year,Flow,Partner,PartnerDesc,Commodity,CommodityDesc,TradeValue,NetWeight
2023,,854,,84,,122783,0
2023,,344,,84,,7540354,0
2023,,504,,84,,1742978,0
2023,,484,,84,,1065334,0
2023,,788,,84,,1946871,0
2023,,388,,84,,651,0
2023,,446,,84,,1747,0
2023,,512,,84,,985352,0
2023,,208,,84,,41401431,0
2023,,887,,84,,193894,0
2023,,800,,84,,28651,0
2023,,780,,84,,2136,0
2023,,352,,84,,4801957,0
2023,,268,,84,,23806500,0
2023,,232,,84,,1881,0
2023,,760,,84,,14382,0
2023,,804,,84,,64899550,0
2023,,662,,84,,1121,0
2023,,466,,84,,36895,0
2023,,20,,84,,21848,0
2023,,646,,84,,100199,0
2023,,499,,84,,386432,0
2023,,604,,84,,137696,0
2023,,292,,84,,108,0
2023,,642,,84,,21858001,0
2023,,170,,84,,217059,0
2023,,212,,84,,70468,0
2023,,188,,84,,6358,0
2023,,414,,84,,174235,0
2023,,51,,84,,16263522,0
2023,,144,,84,,247413,0
2023,,422,,84,,548234,0
2023,,826,,84,,59314628,0
2023,,818,,84,,1264305,0
2023,,643,,84,,291056423,0
2023,,226,,84,,121491,0
2023,,584,,84,,50690,0
2023,,690,,84,,10374,0
2023,,104,,84,,47973,0
2023,,120,,84,,48765,0
2023,,858,,84,,8353,0
2023,,860,,84,,74248425,0
2023,,72,,84,,610072,0
2023,,434,,84,,117996,0
2023,,76,,84,,1399322,0
2023,,699,,84,,4712911,0
2023,,124,,84,,3607397,0
2023,,258,,84,,473,0
2023,,478,,84,,9266,0
2023,,196,,84,,4347554,0
2023,,108,,84,,1881,0
2023,,12,,84,,1289836,0
2023,,540,,84,,65823,0
2023,,508,,84,,38780,0
2023,,231,,84,,598188,0
2023,,372,,84,,5438191,0
2023,,757,,84,,19546580,0
2023,,50,,84,,114566,0
2023,,36,,84,,2732636,0
2023,,52,,84,,374624,0
2023,,68,,84,,74823,0
2023,,724,,84,,22340387,0
2023,,180,,84,,63901,0
2023,,634,,84,,344442,0
2023,,496,,84,,3641257,0
2023,,234,,84,,3455321,0
2023,,316,,84,,1062,0
2023,,60,,84,,9517,0
2023,,178,,84,,264549,0
2023,,591,,84,,556863,0
2023,,100,,84,,15310950,0
2023,,156,,84,,5302839,0
2023,,96,,84,,199,0
2023,,608,,84,,73576,0
2023,,242,,84,,4251,0
2023,,704,,84,,340174,0
2023,,410,,84,,4939441,0
2023,,204,,84,,158,0
2023,,516,,84,,1033011,0
2023,,470,,84,,1139574,0
2023,,360,,84,,3446500,0
2023,,270,,84,,10825,0
2023,,276,,84,,192017843,0
2023,,442,,84,,1905556,0
2023,,288,,84,,38890,0
2023,,214,,84,,4712,0
2023,,807,,84,,323377,0
2023,,716,,84,,1922612,0
2023,,340,,84,,38468,0
2023,,480,,84,,86387,0
2023,,233,,84,,190241532,0
2023,,705,,84,,5976586,0
2023,,222,,84,,22534,0
2023,,392,,84,,785463,0
2023,,620,,84,,16532259,0
2023,,686,,84,,24786,0
2023,,682,,84,,864678,0
2023,,8,,84,,19391,0
2023,,454,,84,,1881,0
2023,,768,,84,,6984,0
2023,,24,,84,,141407,0
2023,,304,,84,,175685,0
2023,,112,,84,,79667539,0
2023,,600,,84,,289047,0
2023,,324,,84,,141557,0
2023,,562,,84,,2717,0
2023,,430,,84,,105992,0
2023,,31,,84,,13128674,0
2023,,251,,84,,55432593,0
2023,,710,,84,,5190321,0
2023,,740,,84,,273272,0
2023,,300,,84,,5901555,0
2023,,862,,84,,9638,0
2023,,795,,84,,494409,0
2023,,191,,84,,6452419,0
2023,,450,,84,,31810,0
2023,,524,,84,,13322,0
2023,,703,,84,,21589619,0
2023,,498,,84,,5905666,0
2023,,70,,84,,871115,0
2023,,764,,84,,1341682,0
2023,,4,,84,,2744,0
2023,,894,,84,,5862,0
2023,,376,,84,,5167200,0
2023,,533,,84,,237333,0
2023,,586,,84,,197666,0
2023,,834,,84,,212727,0
2023,,368,,84,,1138077,0
2023,,48,,84,,17284,0
2023,,132,,84,,1904,0
2023,,528,,84,,86826367,0
2023,,579,,84,,56257894,0
2023,,140,,84,,61558,0
2023,,626,,84,,8007,0
2023,,44,,84,,15821,0
2023,,32,,84,,107839,0
2023,,203,,84,,37489659,0
2023,,320,,84,,15451,0
2023,,384,,84,,147480,0
2023,,40,,84,,19103902,0
2023,,364,,84,,381526,0
2023,,328,,84,,182,0
2023,,554,,84,,8602925,0
2023,,246,,84,,60914470,0
2023,,784,,84,,14685704,0
2023,,748,,84,,1881,0
2023,,688,,84,,10434129,0
2023,,218,,84,,355397,0
2023,,490,,84,,318704,0
2023,,404,,84,,98757,0
2023,,558,,84,,24307,0
2023,,56,,84,,25652069,0
2023,,674,,84,,7325,0
2023,,428,,84,,289322362,0
2023,,152,,84,,427043,0
2023,,400,,84,,190931,0
2023,,380,,84,,25616008,0
2023,,608,,85,,116977,0
2023,,404,,85,,2050389,0
2023,,780,,85,,74353,0
2023,,148,,85,,5938,0
2023,,670,,85,,6577,0
2023,,270,,85,,273801,0
2023,,562,,85,,140887,0
2023,,788,,85,,1065802,0
2023,,376,,85,,5714239,0
2023,,508,,85,,39943,0
2023,,504,,85,,2868677,0
2023,,410,,85,,3505166,0
2023,,760,,85,,1286,0
2023,,328,,85,,279164,0
2023,,764,,85,,5286871,0
2023,,442,,85,,7697322,0
2023,,484,,85,,15168486,0
2023,,634,,85,,166675,0
2023,,414,,85,,220801,0
2023,,180,,85,,33985,0
2023,,616,,85,,170581226,0
2023,,60,,85,,1314,0
2023,,51,,85,,5935822,0
2023,,710,,85,,9651028,0
2023,,266,,85,,2785,0
2023,,686,,85,,35289,0
